Nr;Titel;Herz.;Bew.;Uitgave;Editie;W.krt;Bijkrt, w.e.;Bijkrt, h.w.;Fys. Kenm.;Stempels;Prov.; op bladindex;Signatuur;Opm.;Kartob.;Bewaard;;
12;Assen-West;;;1977;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
12;Assen-West;;;1977;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
12;Assen-West;1975;;1977;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;Achterzijde bedrukt;;kan weg;;0
12;Assen-West;;;1977;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
12;Assen-West;;;1977;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
12;Assen-Oost;1943-1944;;;3;;;;;;Nugter;;LL.03515gk;Achterzijde bedrukt;;Nugter;;0
12;Assen-Oost;1956-1957;;;4;;;;;;Nugter;Ja;;Achterzijde bedrukt;;kan weg;;0
12;Assen-Oost;1956-1957;;;4;;;;;Kaartenverzameling geografisch instituut Vrije Universiteit;VU;Ja;LL.03516gk;;;VU;;0
12;Assen-Oost;1978;;1980;5;Ja;;;;;Nugter;Ja;;Achterzijde bedrukt;;kan weg;;0
12;Assen-Oost;;;1980;5;;W;;;;Nugter;Ja;;;;kan weg;;0
12;Assen-Oost;;;1980;5;;;H;;Topografische dienst bibliotheek ;Nugter;Ja;;;;kan weg;;0
12;Assen-Oost;1978;;1980;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
12;Assen-Oost;;;1980;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
12;Assen-Oost;;;1980;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
12;Assen-Oost;1978;;1980;5;Ja;;;; ;VU;Ja;LL.03518gk;Achterzijde bedrukt;;kan weg;;0
12;Assen-Oost;;;1980;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
12;Assen-Oost;;;1980;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
13;Bourtange 1;1886;1887;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;LL.03513gk;Boertange bestaat uit halfbladen i.p.v. kwartbladen;;Nugter;;0
13;Bourtange 1;1922;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
13;Bourtange 2;1886;1887;;1;;;;;;Nugter;;LL.03513gk;Lichte schimmel, eerder gerestaureerd;;Nugter;;0
13;Bourtange 2;1923;;;2;;;;;;Nugter;;LL.03514gk;Sporen van schimmel;;Nugter;;0
13;Bourtange;1950;1953;;3;;;;;;Nugter;Ja;;Achterzijde bedrukt;;kan weg;;0
13;Bourtange;1950;1953;;3;;;;;;VU;Ja;LL.03515gk;Achterzijde bedrukt;;VU;;0
13;Bourtange;1966;;1968;4;;;;;;Nugter;Ja;LL.03516gk;Achterzijde bedrukt;;Nugter;;0
13;Bourtange;1966;;1968;4;;;;;;VU;Ja;LL.03515gk;Achterzijde bedrukt;;kan weg;;0
13;Winschoten;1978;;1980;5;Ja;;;;;Nugter;Ja;LL.03517gk;Achterzijde bedrukt;;Nugter;;0
13;Winschoten;;;1980;5;;W;;;;Nugter;Ja;LL.03517gk;;;Nugter;;0
13;Winschoten;;;1980;5;;;H;;;Nugter;Ja;LL.03517gk;Breder formaat;;Nugter;;0
13;Winschoten;1978;;1980;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
13;Winschoten;;;1980;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
13;Winschoten;;;1980;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
13;Winschoten;1978;;1980;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;Achterzijde bedrukt;;kan weg;;0
13;Winschoten;;;1980;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
13;Winschoten;;;1980;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;Breder formaat;;kan weg;;0
14;Medemblik 1;;1876;;1;;;;Op linnen;Topographische Inrichting;Nugter;Ja;LL.03513gk;;;Nugter;;0
14;Medemblik 1;1901;1903;;1BIS;;;;Op linnen;Topographische Inrichting;Nugter;Ja;LL.03513gk;Tussen 1e en 2e editie (1BIS);;Nugter;;0
14;Medemblik 1;1925;;;2;;;;;;Nugter;Ja;LL.03514gk;;;Nugter;;0
14;Medemblik 2;;1867;;1;;;;Op linnen;Topographische Inrichting;Nugter;Ja;LL.03513gk;;;Nugter;;0
14;Medemblik 2;1901;1903;;1BIS;;;;;;Nugter;Ja;LL.03513gk;Eerdere restauratiesporen;;Nugter;;0
14;Medemblik 2;1925;;;2;;;;;Commandant Vesting Holland;Nugter;Ja;LL.03514gk;;;Nugter;;0
14;Medemblik 3;;1867;;1;;;;;;Nugter;Ja;LL.03513gk;Verzuurd;;Nugter;;0
14;Medemblik 3;1900;1901;;1BIS;;;;Op linnen;Topographische Inrichting;Nugter;Ja;LL.03513gk;;;Nugter;;0
14;Medemblik 3;1925;;;2;;;;;;Nugter;Ja;LL.03514gk;;;Nugter;;0
14;Medemblik 4;;1867;;1;;;;;;Nugter;Ja;LL.03513gk;Lichte schade rechterzijde, licht verzuurd;;Nugter;;0
14;Medemblik 4;1904;1905;;1BIS;;;;Op linnen;Topographische Inrichting;Nugter;Ja;LL.03513gk;;;Nugter;;0
14;Medemblik 4;1923;;;2;;;;;Commandant Vesting Holland;Nugter;Ja;LL.03514gk;;;Nugter;;0
14;Medemblik West;1949;1951;;3;;;;;;Nugter;Ja;LL.03515gk;;;Nugter;;0
14;Medemblik-West;1969;;1970;4;;;;;;Nugter;Ja;LL.03516gk;;;Nugter;;0
14;Medemblik-West;1971;1983;1985;5;Ja;;;;;VU;Ja;LL.03517gk;;;VU;;0
14;Medemblik-West;;;1984;5;;W;;;;VU;Ja;LL.03517gk;;;VU;;0
14;Medemblik-West;;;1984;5;;;H;;;VU;Ja;LL.03517gk;;;kan weg;;0
14;Medemblik-West;1971;1983;1985;5;Ja;;;;;Nugter;Ja;;Achterzijde bedrukt;;kan weg;;0
14;Medemblik-West;;;1984;5;;W;;;;Nugter;Ja;;;;kan weg;;0
14;Medemblik-West;;;1984;5;;;H;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03517gk;ZOEK! Sticker gebruikt i.p.v. stempel;;Nugter;;0
14;Medemblik-Oost;1942;1946;;3;;;;;;Nugter;Ja;LL.03515gk;Kruis rechtsboven kaart;;Nugter;;0
14;Medemblik-Oost;1968;;1969;4;;;;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03516gk;Achterzijde bedrukt, stempel achterzijde;;Nugter;;0
14;Medemblik-Oost;1971;1983;1984;5;Ja;;;;;VU;Ja;LL.03517gk;;;kan weg;;0
14;Medemblik-Oost;;;1984;5;;W;;;;VU;Ja;LL.03517gk;;;VU;;0
14;Medemblik-Oost;;;1984;5;;;H;;;VU;Ja;LL.03517gk;;;kan weg;;0
14;Medemblik-Oost;1971;1983;1984;5;Ja;;;;;Nugter;Ja;LL.03517gk;Achterzijde bedrukt;;Nugter;;0
14;Medemblik-Oost;;;1984;5;;W;;;Topografische dienst bibliotheek ;Nugter;Ja;;;;kan weg;;0
14;Medemblik-Oost;;;1984;5;;;H;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03517gk;ZOEK! Sticker gebruikt i.p.v. stempel;;Nugter;;0
15;Stavoren 1;;1873;;1;;;;;;Nugter;;LL.03513gk;Verzuurd, Stavoren bestaat uit 3 kwartbladen i.p.v. 4;;Nugter;;0
15;Stavoren 1;1923;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
15;Stavoren 2;;1873;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
15;Stavoren 2;1923;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
15;Stavoren 3;;1867;;1;;;;;;Nugter;;LL.03513gk;Label P.T. Nugter achterzijde;;Nugter;;0
15;Stavoren 3;1904;1905;;1BIS;;;;;Techn hoogeschool Delft;Nugter;;LL.03513gk;Label P.T. Nugter achterzijde;;Nugter;;0
15;Stavoren 3;1923;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
15;Staveren-West;1967;;1967;4;;;;;;Nugter;Ja;;;;kan weg;;0
15;Staveren-West;1967;;1967;4;;;;;;VU;Ja;LL.03516gk;;;VU;;0
15;Staveren-West;1972;;1973;5;Ja;;;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03517gk;Stempel achterzijde;;Nugter;;0
15;Staveren-West;;;1973;5;;W;;;Topografische dienst bibliotheek ;Nugter;Ja;;;;kan weg;;0
15;Staveren-West;;;1973;5;;;H;;Topografische dienst bibliotheek ;Nugter;Ja;;;;Nugter;;0
15;Staveren-West;1972;;1973;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516.gk;;;kan weg;;0
15;Staveren-West;;;1973;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03517gk;;;VU;;0
15;Staveren-West;;;1973;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
15;Staveren-West;1972;;1973;5;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
15;Staveren-West;;;1973;5;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
15;Staveren-West;;;1973;5;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
15;Lemmer;1952;;;3;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03515gk;;;VU;;0
15;Lemmer;1952;;;3;;;;;;Nugter;Ja;;;;kan weg;;0
15;Staveren-Oost;1969;;1970;4;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;Een editie na deze editie bestaat, volgens het Nederlandse Nationaal Archief;;kan weg;;0
15;Staveren-Oost;1969;;1970;4;;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
15;Staveren-Oost;1969;;1970;4;;;;;;Nugter;Ja;LL.03516gk;;;Nugter;;0
16;Steenwijk 1;1875;1877;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
16;Steenwijk 1;1926;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
16;Steenwijk 2;1875;1877;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
16;Steenwijk 2;1926;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
16;Steenwijk 3;1881;1883;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
16;Steenwijk 3;1926;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
16;Steenwijk 4;1881;1883;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
16;Steenwijk 4;1926;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
16;Steenwijk-West;1957;;;3;;;;;;Nugter;Ja;;Achterzijde bedrukt;;Nugter;;0
16;Steenwijk-West;1957;;;3;;;;;;VU;Ja;;Achterzijde bedrukt;;kan weg;;0
16;Steenwijk-West;1974;;1976;4;Ja;;;;;Nugter;Ja;;;;Nugter;;0
16;Steenwijk-West;;;1976;4;;W;;;;Nugter;Ja;;;;kan weg;;0
16;Steenwijk-West;;;1976;4;;;H;;;Nugter;Ja;;;;Nugter;;0
16;Steenwijk-West;1974;;1976;4;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
16;Steenwijk-West;;;1976;4;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
16;Steenwijk-West;;;1976;4;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
16;Steenwijk-West;1974;;1976;4;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
16;Steenwijk-West;;;1976;4;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;VU;;0
16;Steenwijk-West;;;1976;4;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
16;Steenwijk Oost;1952-1953;;;3;;;;;;Nugter;Ja;;Achterzijde bedrukt;;kan weg;;0
16;Steenwijk Oost;1952-1953;;;3;;;;;;VU;Ja;;;;VU;;0
16;Steenwijk-Oost;1976;;1978;4;Ja;;;;;Nugter;Ja;;;;Nugter;;0
16;Steenwijk-Oost;;;1978;4;;W;;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03516gk;;;Nugter;;0
16;Steenwijk-Oost;;;1978;4;;;H;;;Nugter;Ja;LL.03516gk;Breder formaat;;Nugter;;0
16;Steenwijk-Oost;1976;;1978;4;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;Hydrologische waarnemingspunten bijkaart ontbreekt bij deze collectie;;kan weg;;0
16;Steenwijk-Oost;;;1978;4;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
16;Steenwijk-Oost;1976;;1978;4;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
16;Steenwijk-Oost;;;1978;4;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
16;Steenwijk-Oost;;;1978;4;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;Breder formaat;;kan weg;;0
16;Steenwijk-Oost;1987;1990;1991;5;Ja;;;;;Nugter;;;Watervoorzieningen bijkaart ontbreekt!;;Nugter;;0
16;Steenwijk-Oost;1987;1990;1991;5;;;H;;;Nugter;;;;;Nugter;;0
17;Beilen 1;1884;1886;;1;;;;;Waterstaats kartografie Documentatie;Nugter;;LL.03513gk;;;Nugter;;0
17;Beilen 1;1925;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
17;Titelloos;1925;;;MD;;;;;;Nugter;;LL.03514gk;Zonder titel en beschrijving of ingevulde legenda, proefdruk (2e ed.);;Nugter;;0
17;Beilen 2;1884;1885;;1;;;;Op linnen;Topographische Inrichting, Waterstaats kartografie documentatie;Nugter;;LL.03513gk;Verzuurd;;Nugter;;0
17;Beilen 2;1926;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
17;Beilen 3;1884;1886;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
17;Beilen 3;1925;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
17;Beilen 4;1884;1886;;1;;;;Op linnen;Topographische Inrichting;Nugter;;LL.03513gk;;;Nugter;;0
17;Beilen 4;1925;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
17;Beilen West;1951-1952;;;3;;;;;;Nugter;Ja;LL.03515gk;;;Nugter;;0
17;Beilen West;1951-1952;;;3;;;;;;VU;Ja;LL.03514gk;;;kan weg;;0
17;Emmen-West;1977;;1979;4;Ja;;;;;Nugter;Ja;LL.03516gk;Achterzijde bedrukt;;Nugter;;0
17;Emmen-West;;;1979;4;;W;;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03516gk;;;Nugter;;0
17;Emmen-West;;;1979;4;;;H;;Topografische dienst bibliotheek ;Nugter;Ja;LL.03516.gk;;;Nugter;;0
17;Emmen-West;1977;;1979;4;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;Achterzijde bedrukt;;kan weg;;0
17;Emmen-West;;;1979;4;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
17;Emmen-West;;;1979;4;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
17;Emmen-West;1977;;1979;4;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;Achterzijde bedrukt;;kan weg;;0
17;Emmen-West;;;1979;4;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
17;Emmen-West;;;1979;4;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
17;Emmen-West;1984;1989;1990;5;Ja;;;;;Nugter;;LL.03517gk;;;Nugter;;0
17;Emmen-West;1984;1989;1990;5;;W;;;;Nugter;;LL.03517gk;;;Nugter;;0
17;Emmen-West;1984;1989;1990;5;;;H;;;Nugter;;LL.03517gk;;;Nugter;;0
17;Beilen Oost;1953;;;3;;;;;;Nugter;Ja;LL.03515gk;;;Nugter;;0
17;Beilen Oost;1953;;;3;;;;;Kaartenverzameling geografisch instituut Vrije Universiteit;VU;Ja;LL.03514gk;Schade bovenzijde;;kan weg;;0
17;Emmen-Oost;1978;;1980;4;Ja;;;;;Nugter;Ja;LL.03516gk;;;Nugter;;0
17;Emmen-Oost;;;1979;4;;W;;;;Nugter;Ja;;;;kan weg;;0
17;Emmen-Oost;;;1980;4;;;H;;;Nugter;Ja;LL.03516gk;Breder formaat;;Nugter;;0
17;Emmen-Oost;1978;;1980;4;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;      ;;kan weg;;0
17;Emmen-Oost;;;1979;4;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;VU;;0
17;Emmen-Oost;;;1980;4;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;Breder formaat;;kan weg;;0
17;Emmen-Oost;1978;;1980;4;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;kan weg;;0
17;Emmen-Oost;;;1979;4;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
17;Emmen-Oost;;;1980;4;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;Breder formaat;;kan weg;;0
17;Emmen-Oost;1988;1988;1991;5;Ja;;;;;Nugter;;LL.03517gk;;;Nugter;;0
17;Emmen-Oost;1988;1988;1991;5;;W;;;;Nugter;;LL.03517gk;;;Nugter;;0
17;Emmen-Oost;1988;1988;1991;5;;;H;;;Nugter;;LL.03517gk;;;Nugter;;0
18;Roswinkel 1;1922;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
18;Roswinkel 2;1884;1885;;1;;;;;;Nugter;;LL.03513gk;Rechtsboven geringe schade;;Nugter;;0
18;Roswinkel 2;1922;;;2;;;;;;Nugter;;LL.03514gk;;;Nugter;;0
18;Roswinkel;1951-1952;;;3;;;;;;Nugter;Ja;LL.03515gk;Achterzijde bedrukt;;Nugter;;0
18;Roswinkel;1951-1952;;;3;;;;;;VU;Ja;;;;kan weg;;0
18;Roswinkel;1968;;1969;4;;;;;;Nugter;Ja;;;;kan weg;;0
18;Ter Apel;1978;;1979;4BIS;Ja;;;;;Nugter;Ja;LL.03516gk;BIS-editie, achterzijde bedrukt;;Nugter;;0
18;Ter Apel;;;1979;4BIS;;W;;;;Nugter;Ja;LL.03516gk;;;Nugter;;0
18;Ter Apel;;;1979;4BIS;;;H;;;Nugter;Ja;LL.03516gk;;;Nugter;;0
18;Ter Apel;1978;;1979;4BIS;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
18;Ter Apel;;;1979;4BIS;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
18;Ter Apel;;;1979;4BIS;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;;;;kan weg;;0
18;Ter Apel;1978;;1979;4BIS;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;Achterzijde bedrukt;;kan weg;;0
18;Ter Apel;;;1979;4BIS;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
18;Ter Apel;;;1979;4BIS;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;kan weg;;0
18;Ter Apel;1988;1988;1991;5;Ja;;;;;Nugter;;LL.03517gk;;;Nugter;;0
18;Ter Apel;1988;1988;1991;5;;W;;;;Nugter;;LL.03517gk;;;Nugter;;0
18;Ter Apel;1988;1988;1991;5;;;H;;;Nugter;;LL.03517gk;;;Nugter;;0
19;Alkmaar 1;1883;1885;;MD;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;;Tusseneditie tussen de 1e en de 2e editie, Alkmaar 1 (1e ed.) ontbreekt;Nee;;;1
19;Alkmaar 1;1922;;;2;;;;;Commandant Vesting Holland;Nugter;;;;;;;0
19;Alkmaar 2;;1866;;1;;;;Op linnen;Topographische Inrichting;Nugter;;;;;;;0
19;Alkmaar 2;1883;1885;;MD;;;;;;Nugter;;;;Nee;;;1
19;Alkmaar 2;1922;;;2;;;;;Commandant Vesting Holland;Nugter;;;;;;;0
19;Alkmaar 3;;1866;;1;;;;Op linnen;Topographische Inrichting;Nugter;;;;;;;0
19;Alkmaar 3;1883;1885;;MD;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;;Geringe schade rechterhoek;Nee;;;1
19;Alkmaar 3;1923;;;2;;;;;;Nugter;;;;;;;0
19;Alkmaar 4;;1866;;1;;;;Op linnen;Topographische Inrichting;Nugter;;;;;;;0
19;Alkmaar 4;1883;1885;;MD;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;;;Nee;;;1
19;Alkmaar 4;1923;;;2;;;;;Commandant Vesting Holland;Nugter;;;;;;;0
19;Alkmaar West;1949;1951;;3;;;;;;Nugter;Ja;;;;;;0
19;Alkmaar-West;1969;1970;;4;;;;;;Nugter;Ja;;;;;;0
19;Alkmaar-West;1971;1982;1984;5;Ja;;;;;Nugter;Ja;;;;;;0
19;Alkmaar-West;1971;1982;1984;5;;W;;;;Nugter;Ja;;Sticker gebruikt i.p.v. stempel;;;;0
19;Alkmaar-West;1971;1982;1984;5;;;H;;;Nugter;;;;;;;0
19;Alkmaar Oost;1943;1947;;3;;;;;;Nugter;;;;;;;0
19;Alkmaar-Oost;1967-1968;;1970;4;;;;;;Nugter;Ja;;Achterzijde bedrukt;;;;0
19;Alkmaar-Oost;1982;1982;1984;5;Ja;;;;;Nugter;Andere uitgave;;;;;;0
19;Alkmaar-Oost;1982;1982;1984;5;;W;;;;Nugter;Andere uitgave;;;;;;0
19;Alkmaar-Oost;1982;1982;1984;5;;;H;;;Nugter;Andere uitgave;;;;;;0
20;Enkhuizen 1;1904;1905;;MD;;;;Op linnen;Topographische Inrichting;Nugter;;;Tusseneditie tussen de 1e en 2e, Enkhuizen 1 (1e ed.) ontbreekt;Nee;;;1
20;Enkhuizen 1;1924;;;2;;;;;;Nugter;;;Enkhuizen bestaat uit halfbladen i.p.v. kwartbladen;;;;0
20;Enkhuizen 2;1880;1883;;1;;;;Op linnen;Topographische Inrichting;Nugter;;;;;;;0
15-20;Enkhuizen;1944;;;3;;;;;;Nugter;;;Bevat beide Enkhuizen en een deel van Stavoren;;;;0
20;Urk;1954;;;3;;;;;;Nugter;;;;;;;0
20;Enkhuizen-West;1967;;1968;4;;;;;;Nugter;Ja;;;;;;0
20;Enkhuizen-Oost;1968;;1969;4;;;;;Waterstaats kartografie Documentatie;Nugter;Ja;;;;;;0
20;Lelystad-West;1972;;1973;MD;Ja;;;;Topografische dienst bibliotheek ;Nugter;Ja;;Tusseneditie tussen 4e en 5e editie;Nee;;;0
20;Lelystad-West;;;1973;MD;;W;;;Topografische dienst bibliotheek ;Nugter;Ja;;;Nee;;;0
20;Lelystad-West;;;1973;MD;;;H;;Waterstaats kartografie Documentatie;Nugter;Ja;;;Nee;;;0
20;Lelystad-West;1972;;1973;MD;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;;;;;0
20;Lelystad-West;;;1973;MD;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;;;0
20;Lelystad-West;;;1973;MD;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;;;0
20;Lelystad;1987;1988;1990;5;Ja;;;;;Nugter;;;;;;;0
20;Lelystad;1987;1988;1990;5;;W;;;;Nugter;;;;;;;0
20;Lelystad;1987;1988;1990;MD;;;H;;;Nugter;;;Nieuw: 5e editie;Nee;;;1
21;Zwolle 1;1880;1882;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;;;;;;;0
21;Zwolle 2;1881;1883;;1;;;;;Technische hoogeschool waterbouwkunde afd. weg en waterbouwkunde;Nugter;Ja;;Veel schade aan randen -> scheurrisisco;;;;0
21;Zwolle 3;1880;1882;;1;;;;;;Nugter;Ja;;Duplicaat!;;;;0
21;Zwolle 3;1880;1882;;1;;;;Op linnen;Topographische Inrichting;Nugter;Ja;;;;;;0
21;Zwolle 4;1880;1883;;1;;;;;;Nugter;Ja;;Lichte schade rechter en onderzijde -> scheurrisico, eerdere restauratiesporen;;;;0
21;Zwolle 4;1923;;;2;;;;;;Nugter;Ja;;lichte verzuring onderzijde;;;;0
21;Zwolle (West);1930;1934;;3;;;;;;Nugter;Ja;;Achterzijde bedrukt;;;;0
21;Zwolle-West;1958;;1960;4;;;;;         ;Nugter;Ja;;Achterzijde bedrukt;;;;0
21;Zwolle-West;1973;;1975;MD;Ja;;;;;Nugter;Ja;;Tusseneditie tussen 4e en 5e editie, achterzijde bedrukt;Nee;;;0
21;Zwolle-West;;;1975;MD;;W;;;Topografische dienst bibliotheek ;Nugter;Ja;;;Nee;;;0
21;Zwolle-West;;;1975;MD;;;H;;;Nugter;Ja;;;Nee;;;0
21;Zwolle-West;1973;;1975;MD;Ja;;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03518gk;Achterzijde bedrukt;;;;0
21;Zwolle-West;;;1975;MD;;W;;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;;;0
21;Zwolle-West;;;1975;MD;;;H;;Bibliotheek Vrije Universiteit Kaartenzaal;VU;Ja;LL.03516gk;;;;;0
21;Zwolle-West;1974;1987;1990;5;Ja;;;;;Nugter;;;Achterzijde bedrukt;;;;0
21;Zwolle-West;;;1990;5;;W;;;;Nugter;;;;;;;0
21;Zwolle-West;;;1988;5;;;H;;;Nugter;;;;;;;0
21;Zwolle (Oost);1937;;;3;;;;;;Nugter;Ja;;;;;;0
21;Zwolle-Oost;1964;;1967;4;;;;;;Nugter;Andere uitgave;;Achterzijde bedrukt;;;;0
