"Id";"serie_editie";"serie";"serietekst";"nr";"titel";"auteurs";"editie";"jaar metingen";"jaar van uitgave";"linksonder";"rechtsonder";"uitgever";"Drukker";"schaal";"Stempel TIArchief";"StempelTIKaartenarchief";"StempelBiblPontonniers";"StempelKVGIVU";"StempelKaartenzaal";"Stempel";"opmerkingen";"Fyskenm";"provenance";"aanwezig in ub"
101;"EERSTE DRUK";"5";"Kaart van de rivieren de Oude en Nieuwe Merwede en de killen in het Bergsche Veld : in negen bladen / op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Inspecteur van den Waterstaat L.J.A. van der Kun ; opgemeten en vervaardigd door de landmeters bij de Algemeene dienst van den Waterstaat E. Olivier Dz. En F.F.J. Machen. – 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1857-1858 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 910 bladen, in kleur : lithografie; diverse formaten.";"05";"Lagenhof (Signaal)";;;"1857";1857,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"RO in handschrift: Ontv bij br dd. 15 Juny 1860 no. 1610. Gereg. Onder no. 255""";"Scheurtjes MO en L";"Nugter";"Ja"
102;"EERSTE HERZIENING";"6";"Oude Maas, Amer, Hollandsch Diep en Haringvliet / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1884-1886]. – 1 serie in 13 bladen : lithografie ; diverse formaten.";"05";"Zwaluwe";;;;1885,00;;;;;"Schaal 1:10.000";;;;;;;;;;
103;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"05";"Kortenoord";;;;1904,00;;;;;"Schaal 1:2.500";;;;;;;;;;
104;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"05";"Ouderkerk";"Karteering Rijkswaterstaat Algemeene Dienst";;"1931-1932";1933,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"Foto-Litho, in kleur";;;"Ja"
105;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"05";"Ouderkerk ";"Kartering Rijkswaterstaat Algemene Dienst";"Vierde uitgave";"1951";1952,00;;;"'s-Gravenhage : Rijksstaatsdrukkerij en Uitgeverijbedrijf";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"In kleur";;;"Ja"
106;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"05";"Berg";;;;1896,00;;;;;"Schaal 1:10.000";;;;;;;;;;
107;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"06";"Leeuwen";;;"1831";1831,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
108;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"06";"Leeuwen";;;;1874,00;;;;;"Schaal 1:10.000";;;;;;;;;;
109;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"06";"Dodewaard";;;;1921,00;;;;;"Schaal 1:10.000";;;;;;;;;;
110;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"06";"Dodewaard ";;"Vierde uitgave";;1960,00;;;;;"Schaal 1:10.000";;;;;;;;;;
111;"EERSTE DRUK";"2";"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten.";"06";"Heteren";;;"1838";1838,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
112;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"06";"Heteren";;;;1881,00;;;;;"Schaal 1:10.000";;;;;;;;;;
113;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"06";"Wageningen";;;"1913-1914";1918,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;;;;"Ja"
114;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"06";"Wageningen ";"Kartering Rijkswaterstaat, Meetkundige Dienst Delft";"Vierde uitgave";"1958-1959";1961,00;;;"'s-Gravenhage : Rijksstaatsdrukkerij en Uitgeverijbedrijf";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;"Foto-Litho, In kleur";;;"Ja"
115;"EERSTE HERZIENING";"3";"IJssel en Zwarte Water / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1877-1909]. – 1 kaartserie in 20 bladen : lithografie ; diverse formaten.";"06";"Gorssel";;;;1889,00;;;;;"Schaal 1:10.000";;;;;;;;;;
116;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"06";"Roosteren ";;"Derde uitgave";;1940,00;;;;;"Schaal 1:10.000";;;;;;;;;;
117;"EERSTE DRUK";"3";"Kaart van de rivier de Ijssel van Westervoort tot Kampen : in twintig bladen benevens twee supplementaire bladen / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur bij de Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier. – Schaal 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1840-1846] ([Delft] : Topographisch Bureau, Ministerie van Oorlog). – 1 serie in 27 bladen : lithografie ; diverse formaten.";"06";"Zutphen";;;"1841, 1843";1843,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog, Topographisch Bureau)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
118;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"06";"Stockhem";;;"1849";1849,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
119;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"06";"Gorsel, Noord";;;;1927,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Top. Inr.)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;;;;"Ja"
120;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"06";"Gorsel, Zuid";;;;1927,00;;;;;"Schaal 1:10.000";;;;;;;;;;
121;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"06";"Gorssel";"Kartering Rijkswaterstaat – Meetkundige Dienst Delft";;"1958";1960,00;;;"'s-Gravenhage : Rijksstaatsdrukkerij en Uitgeverijbedrijf";"(Delft  : Topographische inrichting)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;;;;"Ja"
122;"EERSTE DRUK";"5";"Kaart van de rivieren de Oude en Nieuwe Merwede en de killen in het Bergsche Veld : in negen bladen / op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Inspecteur van den Waterstaat L.J.A. van der Kun ; opgemeten en vervaardigd door de landmeters bij de Algemeene dienst van den Waterstaat E. Olivier Dz. En F.F.J. Machen. – 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1857-1858 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 910 bladen, in kleur : lithografie; diverse formaten.";"06";"Nieuwe dijk";;;"1857";1857,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
123;"EERSTE HERZIENING";"6";"Oude Maas, Amer, Hollandsch Diep en Haringvliet / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1884-1886]. – 1 serie in 13 bladen : lithografie ; diverse formaten.";"06";"Moerdijk";;;;1885,00;;;;;"Schaal 1:10.000";;;;;;;;;;
124;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"06";"Groot Hitland";;;;1905,00;;;;;"Schaal 1:2.500";;;;;;;;;;
125;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"06";"Groot Hitland";;;;1915,00;;;;;"Schaal 1:2.500";;;;;;;;;;
126;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"06";"Krimpen";"Karteering Rijkswaterstaat Algemeene Dienst";;"1931-1932";1933,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"Foto-Litho, in kleur";;;"Ja"
127;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"06";"Krimpen ";"Kartering Rijkswaterstaat Algemeene Dienst";"Vierde uitgave";"1951";1952,00;;;"'s-Gravenhage : Rijksstaatsdrukkerij en Uitgeverijbedrijf";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"In kleur";;;"Ja"
128;"EERSTE HERZIENING";"4 EN 5";"Maas / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische inrichting, 1873-1903]. – 1 serie in 33 bladen : lithografie ; diverse formaten.";"06";"Maaseyck";;;;1896,00;;;;;"Schaal 1:10.000";;;;;;;;;;
129;"EERSTE DRUK";"1";"Kaart van de rivieren de Boven Rijn, de Waal, de Merwede, de Oude en een gedeelte van de Nieuwe Maas van Lobith tot Brielle : in twintig bladen benevens twee supplementaire bladen voor de Dordtsche Kil / vervaardigd op last van zijne excellentie den Minister van Binnenlandse Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1830-1835. ([Delft] : het Bureau en de drukkerij van de Directie der Militaire Verkenningen). -  1 kaartserie, in 27 bladen : lithografie ; diverse formaten.";"07";"Tiel";;;"1831";1831,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Directie der Militaire Verkenningen)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";"Scheuren L en R";"Nugter";"Ja"
130;"EERSTE HERZIENING";"1";"Herziene kaart van de rivieren Boven Rijn, Waal, Merwede, Noord, Dordsche Kil, Oude Maas, Spui en Nieuwe Maas / [Rijkswaterstaat]. - Schaal 1:10.000. – [Eerste herziening]. -  ['s-Gravenhage : Topografische Inrichting, 1873-1914]. - 1 serie in 29 bladen : lithografie ; diverse formaten";"07";"Tiel";;;;1874,00;;;;;"Schaal 1:10.000";;;;;;;;;;
131;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"07";"Leeuwen";;;;1923,00;;;;;"Schaal 1:10.000";;;;;;;;;;
132;"TWEEDE HERZIENING";"1";"Bovenrijn, Waal, Boven-en Beneden Merwede, Dordsche Kil, Oude Maas, Noord, Brielsche Nieuwe Maas / [Rijkswaterstaat]. – Schaal 1:10.000. – [Tweede herziening]. - [’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst, 1914-1961]. – 1 serie in 35 bladen : lithografie ; diverse formaten.";"07";"Leeuwen ";;"Vierde uitgave";;1961,00;;;;;"Schaal 1:10.000";;;;;;;;;;
133;"EERSTE DRUK";"2";"Kaart van de rivieren de Boven en Neder-Rijn, de Lek en de Nieuwe Maas, van Lobith tot Brielle : in twintig bladen, benevens twee supplementaire bladen voor den Oude-Rijn en voor de Noord / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Ingenieur bij de Algemeene Dienst van den Waterstaat B.H. Goudriaan. – Schaal 1:10.000. - [Delft] : Algemeene Dienst van de Waterstaat, 1830-1842. ([Delft] : Topographisch Bureau en Drukkerij van het Deptartement van Oorlog). - 1 serie in 25 bladen : lithografie ; diverse formaten.";"07";"Opheusden";;;"1838";1838,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
134;"EERSTE HERZIENING";"2";"Boven Rijn, Neder Rijn, Lek, Nieuwe Maas, Scheur en Nieuwe Waterweg / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1873-1907]. - 1 serie in 32 bladen : lithografie ; verschillende formaten.";"07";"Opheusden";;;;1881,00;;;;;"Schaal 1:10.000";;;;;;;;;;
135;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"07";"Rhenen";;;"1913-1914";1918,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Topographische inrichting)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;;;;"Ja"
136;"TWEEDE HERZIENING";"2";"Pannerdensch Kanaal, Neder-Rijn, Lek, Nieuwe Maas, Scheur, Nieuwe Waterweg / [Rijkswaterstaat]. – Schaal 1:5.000 / 1:10.000. – [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1914-1961] (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 31 bladen : lithografie ; diverse formaten.";"07";"Rhenen ";"Kartering Rijkswaterstaat, Meetkundige Dienst Delft";"Vierde uitgave";"1957-1958";1961,00;;;"'s-Gravenhage : Rijksstaatsdrukkerij en Uitgeverijbedrijf";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;"Foto-Litho, in kleur";;;"Ja"
137;"EERSTE HERZIENING";"3";"IJssel en Zwarte Water / [Rijkswaterstaat]. - Schaal 1:10.000. - [Eerste herziening]. - ['s-Gravenhage : Topografische Inrichting, 1877-1909]. – 1 kaartserie in 20 bladen : lithografie ; diverse formaten.";"07";"Deventer";;;;1890,00;;;;;"Schaal 1:10.000";;;;;;;;;;
138;"TWEEDE HERZIENING";"3";"Afgedamde Maas, Boven- en Beneden-Merwede, Bergsche Maas, Amer, Biesbosch, Hollandsch Diep, Haringvliet en gedeelte Volkerak / [Rijkswaterstaat]. –[’s-Gravenhage : Staatsdrukkerij, 1933-1960] (Delft : Topografische Dienst). – 1 serie in 53 bladen : lithografie ; diverse formaten.";"07";"Stevensweert ";;"Derde uitgave";;1951,00;;;;;"Schaal 1:10.000";;;;;;;;;;
139;"EERSTE DRUK";"3";"Kaart van de rivier de Ijssel van Westervoort tot Kampen : in twintig bladen benevens twee supplementaire bladen / vervaardigd op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur bij de Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier. – Schaal 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1840-1846] ([Delft] : Topographisch Bureau, Ministerie van Oorlog). – 1 serie in 27 bladen : lithografie ; diverse formaten.";"07";"Gorssel";;;"1841, 1843";1843,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft : Departement van Oorlog, Topographisch Bureau)";"Schaal 1:10.000";;;;;;;;;"Nugter";"Ja"
140;"EERSTE DRUK";"4";"Kaart van de rivier de Boven Maas van Vise tot Woudrichem : in vierendertig bladen / opgemeten en vervaardigd door den eersten landmeter bij de Algemeene dienst van den Waterstaat E. Olivier Dz. ; op last van zijne excellentie den minister van Binnenlandsche Zaken, onder directie van den fungerenden Hoofd-Ingenieur en van den Ingenieur in Algemeene Dienst van den Waterstaat L.J.A. van der Kun en R. Musquetier.  – Schaal 1:10.000. - [Delft] : Algemeene Dienst van den Waterstaat, 1849-1856 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 38 bladen : lithografie; diverse formaten.";"07";"Maeseijck";;;"1849";1849,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";;;;;;;"KZ: etiket  ""Noordelijk Waterstaats Arrondissement  van Overijssel""";;"Nugter";"Ja"
141;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"07";"Deventer (Oost)";;;"1925";1927,00;;;"[’s-Gravenhage : Staatsdrukkerij],";"(Delft  : Top. Inr.)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"In kleur";;;"Ja"
142;"TWEEDE HERZIENING";"4";"IJssel, Ganzendiep en Goot, Zwarte Water / [Rijkswaterstaat]. - [Tweede herziening]. - [’s-Gravenhage : Staatsdrukkerij, 1927-1933]. (’s-Gravenhage ; Delft : Topografische Inrichting : Topografische Dienst). – 1 serie in 35 bladen : lithografie ; diverse formaten.";"07";"Deventer (West)";;;"1925";1927,00;;;"[’s-Gravenhage : Staatsdrukkerij],";"(Delft  : Top. Inr.)";"Schaal 1:10.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"In kleur";;;"Ja"
143;"EERSTE DRUK";"5";"Kaart van de rivieren de Oude en Nieuwe Merwede en de killen in het Bergsche Veld : in negen bladen / op last van Zijne Excellentie den Minister van Binnenlandsche Zaken, onder directie van den Hoofd-Inspecteur van den Waterstaat L.J.A. van der Kun ; opgemeten en vervaardigd door de landmeters bij de Algemeene dienst van den Waterstaat E. Olivier Dz. En F.F.J. Machen. – 1:10.000. - [Delft : Algemeene Dienst van den Waterstaat, 1857-1858 ([Delft] : Topographisch Bureau en Drukkerij van het Departement van Oorlog). – 1 serie in 910 bladen, in kleur : lithografie; diverse formaten.";"07";"Dordrecht";;;"1858";1858,00;;;"['s-Gravenhage : Staatsuitgeverij]";"(Delft  : Ministerie van Oorlog,Topographisch Bureau)";"Schaal 1:10.000";"Topographische Inrichting Archief";"Topographische Inrichting Kaartenarchief";;;;;"LB in potlood: 1049c";;"Nugter";"Ja"
144;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"07";"Ouderkerk";;;;1906,00;;;;;"Schaal 1:2.500";;;;;;;;;;
145;"EERSTE HERZIENING";"8";"Hollandsche IJssel / [Rijkswaterstaat]. - Schaal 1:2.500. - [Eerste herziening]. - ['s-Gravenhage : Topographische Inrichting, 1902-1924]. – 1 serie in 15 bladen : lithografie  ; diverse formaten.";"07";"Ouderkerk";;;;1924,00;;;;;"Schaal 1:2.500";;;;;;;;;;
146;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"07";"Stormpolder";"Karteering Rijkswaterstaat Algemeene Dienst";"Vierde uitgave";"1929, 1931, 1932, 1935";1936,00;;;"'s-Gravenhage : Rijksuitgeverij";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;"Kaartenverzameling Geografisch Instituut Vrije Universiteit";;;"Foto-Litho, in kleur";;;"Ja"
147;"TWEEDE HERZIENING";"2A";"Hollandsche Ijssel c.a. / [Rijkswaterstaat]. - Schaal 1:5.000. - [’s-Gravenhage : Staatsdrukkerij, 1933-1954] (Delft : Topografische Dienst). – 1 serie in 14 bladen : lithografie ; diverse formaten.";"07";"Stormpolder ";"Kartering Rijkswaterstaat, Algemene Dienst";"Vijfde uitgave";"1951-1954";1954,00;;;"'s-Gravenhage : Rijksstaatsdrukkerij en Uitgeverijbedrijf";"(Delft  : Reproductie: Top. Dienst)";"Schaal 1:5.000";;;;;"Bibliotheek Kaartenzaal Vrije Universiteit";;"Foto-Litho. In kleur, op linnen";;;"Ja"
